Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Jim McDaniels;29;BUF;10.2;14;8.8;0.3;2.8
Dave Robisch;28;LAL;12.6;13.5;7.5;1.3;1
Bird Averitt;25;BUF;11.5;4;28.2;1.5;0.6
Earl Tatum;24;LAL;15.9;6.9;14.8;2.5;0.8
Dick Snyder;33;CLE;12;3.8;12;1.6;1.5
Phil Jackson;32;NYK;8.1;8.7;8.1;2.1;1.2
C.J. Kupec;25;HOU;10;7.7;10.5;0.8;0.3
Ben Poquette;22;DET;10.6;12.2;4.3;0.7;1.8
Bob Carrington;24;IND;12.1;4.9;13.7;1.6;0.9
Nick Weatherspoon;27;CHI;10.5;11.1;7.5;1.5;0.9
Dave Robisch;28;IND;13;14.1;10.6;1.5;1.3
John Shumate;25;BUF;14.2;11.6;13.4;1.1;0.8
Ralph Simpson;28;DEN;8.1;6.6;16;3.3;0.3
Al Eberhard;25;DET;10;9.3;5.9;1;0.4
Ron Behagen;27;ATL;15.9;16.5;9.4;2.4;1.2
Scott Lloyd;25;BUF;9.6;11.3;8.3;0.9;0.8
Cliff Pondexter;23;CHI;11.6;13.3;21.1;1.7;1.5
Wilson Washington;22;NJN;11.9;13.2;2.4;1.4;3.5
Ken Charles;26;ATL;11.1;2.5;22.5;2.2;0.6
Mo Layton;29;SAS;11.6;3.4;27.5;1.9;0.4
Charles Johnson;28;GSW;11.8;6.4;13.8;2.9;0.4
Kevin Restani;26;KCK;8.7;10.4;5.8;0.5;0.5
Wesley Cox;23;GSW;11.7;16;3.5;2.1;1.2
Gus Bailey;26;NOJ;11.8;8.8;11.6;1.8;1.7
Steve Green;24;IND;9.9;7.7;8.8;1.4;0.2
Joe Pace;24;WSB;13.7;15.1;7;1.2;2.4
Nate Williams;27;NOJ;14.4;10;11.3;2.1;1.4
Greg Griffin;25;PHO;6.8;12.6;7.1;1.6;0
Bird Averitt;25;NJN;8.2;3.9;23;1.8;0.1
Joe Hassett;22;SEA;11.9;4.5;15.7;2.4;0
Fred Saunders;26;NOJ;11.8;8.9;12;1.6;1.2
Phil Walker;21;WSB;9;6.7;18.6;1.6;0.6
Robert Smith;22;DEN;10.9;4.9;13.5;2.1;0.4
Freddie Boyd;27;NOJ;7.7;2.5;16.9;1.1;0.4
Louie Nelson;26;NJN;14;6.7;12.5;2.5;0.9
Willie Norwood;30;POR;6.6;9.6;6.9;2.4;0
